9/9/2017 | 8/26/18 | Igrac Ghost | Komanda: /setvw ghost 5
9/9/2017 | 8/26/23 | Igrac Ghost | Komanda: /setint ghost 10
9/9/2017 | 8/26/45 | Igrac Ghost | Komanda: /port
9/9/2017 | 8/26/49 | Igrac Ghost | Komanda: /setint ghost 0
9/9/2017 | 8/26/51 | Igrac Ghost | Komanda: /setvw ghost 0
9/9/2017 | 8/26/52 | Igrac Ghost | Komanda: /port
9/9/2017 | 8/26/54 | Igrac Ghost | Komanda: /port
9/9/2017 | 8/26/59 | Igrac Ghost | Komanda: /jetpack
9/9/2017 | 8/27/56 | Igrac Ghost | Komanda: /jetpack
9/9/2017 | 8/29/30 | Igrac Ghost | Komanda: /f e
9/9/2017 | 8/33/29 | Igrac Ghost | Komanda: /gotopos  1205.4855 12.1727 1002.5115 0
9/9/2017 | 8/34/2 | Igrac Ghost | Komanda: /gotopos 1201.6586, 8.0335 1000.8676  0
9/9/2017 | 8/34/6 | Igrac Ghost | Komanda: /gotopos 1201.6586 8.0335 1000.8676  0
9/9/2017 | 8/40/17 | Igrac Ghost | Komanda: /gotopos 1201.5923 7.3520 1000.8676 0
9/9/2017 | 10/17/13 | Igrac Ghost | Komanda: /NAPRAVIFIRMU
9/9/2017 | 10/17/23 | Igrac Ghost | Komanda: /NAPRAVIFIRMU 5 10 99
9/9/2017 | 10/17/46 | Igrac Ghost | Komanda: /obrisi
9/9/2017 | 10/17/49 | Igrac Ghost | Komanda: /obrisi firma 10
9/9/2017 | 10/17/55 | Igrac Ghost | Komanda: /obrisi firmu 10
9/9/2017 | 10/18/5 | Igrac Ghost | Komanda: /napravifirmu 5 10 99
9/9/2017 | 10/18/19 | Igrac Ghost | Komanda: /Striptiz
9/9/2017 | 10/18/21 | Igrac Ghost | Komanda: /Striptiz
9/9/2017 | 10/18/48 | Igrac Ghost | Komanda: /PPODNOS
9/9/2017 | 10/18/55 | Igrac Ghost | Komanda: /PREKINIPUSENJE
9/9/2017 | 10/19/15 | Igrac Ghost | Komanda: /PPODNOS
9/9/2017 | 10/19/23 | Igrac Ghost | Komanda: /PREKINIPUSENJE
9/9/2017 | 10/19/52 | Igrac Ghost | Komanda: /givegun ghost 24 99
9/9/2017 | 10/19/54 | Igrac Ghost | Komanda: /kill 0
9/9/2017 | 10/21/0 | Igrac Ghost | Komanda: /setstat ghost
9/9/2017 | 10/21/4 | Igrac Ghost | Komanda: /setstat ghost 2 9
9/9/2017 | 10/21/21 | Igrac Ghost | Komanda: /gethere
